Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Crop,Rain_JAN,Rain_FEB,Rain_MAR,Rain_APR,Rain_MAY,Rain_JUN,Rain_JUL,Rain_AUG,Rain_SEP,Rain_OCT,Rain_NOV,Rain_DEC,Temp_ANNUAL,Temp_JAN-FEB,Temp_MAR-MAY,Temp_JUN-SEP,Temp_OCT-DEC
QCL,Crops and livestock products,100,India,5312,Area harvested,27,"Rice, paddy",2006,2006,ha,43810000,,Official data,rice,17.7,11.9,35.6,32.7,75.0,141.8,287.6,281.3,178.6,51.8,34.6,13.1,25.06,21.33,26.52,27.4,22.66
QCL,Crops and livestock products,100,India,5312,Area harvested,27,"Rice, paddy",2007,2007,ha,43910000,,Official data,rice,1.7,36.7,35.2,30.6,46.8,192.5,286.2,257.4,206.8,55.7,14.4,15.3,24.77,20.1,26.69,27.49,22.32
QCL,Crops and livestock products,100,India,5312,Area harvested,27,"Rice, paddy",2008,2008,ha,45537400,,Official data,rice,18.4,19.3,41.2,29.5,43.7,202.0,245.0,265.8,165.1,51.6,25.5,11.0,24.61,19.16,26.46,27.26,22.87
QCL,Crops and livestock products,100,India,5312,Area harvested,27,"Rice, paddy",2009,2009,ha,41918300,,Official data,rice,12.0,12.0,14.2,25.1,56.0,85.7,280.7,192.5,139.4,71.4,53.7,11.1,25.11,20.72,26.86,27.89,22.58
QCL,Crops and livestock products,100,India,5312,Area harvested,27,"Rice, paddy",2010,2010,ha,42862400,,Official data,rice,7.5,17.0,14.0,39.0,73.8,138.1,300.7,274.7,197.7,69.0,61.4,22.7,25.13,20.19,27.83,27.5,22.6
QCL,Crops and livestock products,100,India,5312,Area harvested,27,"Rice, paddy",2011,2011,ha,44010000,,Official data,rice,6.8,25.8,22.4,41.1,53.1,183.5,246.0,284.9,186.9,38.1,20.1,7.6,24.67,19.54,26.38,27.54,22.71
QCL,Crops and livestock products,100,India,5312,Area harvested,27,"Rice, paddy",2012,2012,ha,42754000,,Official data,rice,26.5,12.7,11.3,47.5,31.7,117.8,250.2,262.4,193.5,58.7,30.7,11.7,24.69,19.34,26.55,27.71,22.35
QCL,Crops and livestock products,100,India,5312,Area harvested,27,"Rice, paddy",2013,2013,ha,44135950,,Official data,rice,11.3,40.1,15.7,30.4,57.8,219.8,310.0,254.7,152.7,129.4,14.0,6.7,24.82,19.98,26.85,27.46,22.5
QCL,Crops and livestock products,100,India,5312,Area harvested,27,"Rice, paddy",2014,2014,ha,44110000,,Official data,rice,19.2,27.4,36.1,22.2,72.9,95.4,261.2,237.5,188.0,60.2,14.4,10.7,24.73,19.58,26.24,27.88,22.47
QCL,Crops and livestock products,100,India,5312,Area harvested,27,"Rice, paddy",2015,2015,ha,43390000,,Official data,rice,17.9,25.6,36.1,42.1,67.4,164.6,284.5,257.5,171.9,73.1,29.4,19.0,24.91,20.12,26.29,27.73,22.99
